request_id,title,search_keyword,target_sites,ebay_price_jpy,ebay_url
401,Dainese Racing Perforated Leather Motorcycle Jacket Size EU 50 - US 40,ダイネーゼ Racing Perforated Leather Motorcycle ジャケット Size EU 50 - US 40,mercari;yahoo,31000,https://www.ebay.com/itm/398043955140?_skw=Dainese&hash=item5cad44bfc4:g:4hEAAeSwM7JqJ7-X
402,Dainese Druid 4 Leather Gloves White CE Armor Summer Racing Motorcycle,ダイネーゼ Druid 4 Leather グローブ White CE Armor Summer Racing Motorcycle,mercari;yahoo,29448,https://www.ebay.com/itm/188483009220?_skw=Dainese&hash=item2be2767ac4:g:WXEAAeSwYe5qJrWc&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZ6cMIOjbpiVuaFaqrXUmesQFXGiUZtddkRd7N2aZc7UpBX1Qhj3DPFutA1T2kiHiEq43ZITe%2FRcz47nzTxXNv%2BXBZySPDN%2BmndLtewQmajEXU6P%2B2cWWHYoqZiYrCEfT9ie4IJgMvP7r5uDB91sncrgJRbL702KcsxvsLJM0G%2FNRRw30bkLI7Th1XV4mIs7wGfAUG9GqQ8s59L%2FGSeYQqMAoRvuW%2F%2BaCmbJKWojNigOMlnGIIoonWkXUIAgx6%2FMFupR4qZyZzw2wLIovnRx1Jq09X5gygB7%2BAgBsWoD8n70w%3D%3D
403,Dainese Super Speed 4 Cowhide Leather Jacket,ダイネーゼ Super Speed 4 Cowhide Leather ジャケット,mercari;yahoo,46498,https://www.ebay.com/itm/168368268594?_skw=Dainese&hash=item273387e532:g:J68AAeSw7kpqCgSS&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGasUWrrV%2FoQh4SlYyQzV9nBTMayxLQkJ8%2FMycZ7AkscVW8hWA%2F0D8AouqVgNkRT%2BkKFNCP1ohvrEO579mGCCxXsMn7UHXdGu1ubbVvvHPUqMC4ti%2FcqehsQ%2BNKtawKnCe8NE7EB93MsBK5gqlg7tE3r5%2Fu2U79YeWy8Xv0F0FilAxlpq%2BLCt5PPoFAkoxoSDTC8TNv3XPpxpmYHpmNXenX8RBOoj2i2t9Wa%2FfGScsPTPSYWt2X3J4VaiC%2BN8gVODMMPh5%2Bc2zFlA3lF2ukMInUw2%2BFvbtwFEECXvOtb3UMERA%3D%3D
404,Dainese Hydra Flux 2 Air D-Dry Womens Motorcycle Jacket Black | EU 46,ダイネーゼ Hydra Flux 2 Air D-Dry Womens Motorcycle ジャケット Black | EU 46,mercari;yahoo,13904,https://www.ebay.com/itm/178205805101?_skw=Dainese&hash=item297de4ca2d:g:gjwAAeSwm-VqJ4Ll&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGY5NhA332foYCY3iJ2YzVKQpiX%2FV2cOZH8jLTRolzTPu9xDgkwjbl4DFvXaaRoMDDTbzmrmNtqhunltXSIP%2FlXzYtDu4koZtZgmUtzc551IiqYxNDUO0%2FkskeXOZFYj535e2tDZPbyrx0KlIAwPk1Rc4SV5JnWQwvVcrSUFbmaBjP6ChAvZr3jeqHNiZVjxnxuuBmkWvrtA%2B572pBAtVtLsWM86%2BSIs%2BxZuhDgKKf6UN3zB5ioyx78DIvDJmRWp5NQH9ECGFCe7KH058pwxMBf7
405,Dainese Full Metal Gloves - 8.5M,ダイネーゼ Full Metal グローブ - 8.5M,mercari;yahoo,26350,https://www.ebay.com/itm/178198653785?_skw=Dainese&hash=item297d77ab59:g:YCkAAeSwG21qJHCM
406,Dainese Laguna Seca 5  Race Suit Black/White Size 50 - Free Shipping!,ダイネーゼ Laguna Seca 5 Race Suit Black/White Size 50 - Free Shipping!,mercari;yahoo,123998,https://www.ebay.com/itm/206331904159?_skw=Dainese&hash=item300a57009f:g:jUoAAeSw-JNqJvti
407,Dainese leather jacket 50 + Zip in Liner + Built in Elbow and Shoulder Armor,ダイネーゼ leather ジャケット 50 + Zip in Liner + Built in Elbow and Shoulder Armor,mercari;yahoo,38750,https://www.ebay.com/itm/318429960996?_skw=Dainese&hash=item4a23e79b24:g:4TcAAeSwK-9qJ6F5
408,Dainese Carbon 4 Motorcycle Gloves Size L,ダイネーゼ Carbon 4 Motorcycle グローブ Size L,mercari;yahoo,15500,https://www.ebay.com/itm/366465032989?_skw=Dainese&hash=item555304a31d:g:bPoAAeSwBfhqJxV~
409,Dainese Steel Pro,ダイネーゼ Steel Pro,mercari;yahoo,31000,https://www.ebay.com/itm/157982774122?_skw=Dainese&hash=item24c881d36a:g:7aMAAeSwEgFqJ39V
410,Dainese Super Speed SP-R Motorcycle Jacket Mens Size 58,ダイネーゼ Super Speed SP-R Motorcycle ジャケット Mens Size 58,mercari;yahoo,23250,https://www.ebay.com/itm/178201119707?_skw=Dainese&hash=item297d9d4bdb:g:9acAAeSwoKJqIKFK
411,Dainese Steel Pro Race Motorcycle Gloves Black Size 9/L,ダイネーゼ Steel Pro Race Motorcycle グローブ Black Size 9/L,mercari;yahoo,23250,https://www.ebay.com/itm/267684365840?_skw=Dainese&hash=item3e533b4610:g:ATYAAeSwNEpqGlWB
412,Dainese Motorcycle Jacket M Size 56 White/Blk Full Zip Riding Biker Armored Logo,ダイネーゼ Motorcycle ジャケット M Size 56 White/Blk Full Zip Riding Biker Armored Logo,mercari;yahoo,19373,https://www.ebay.com/itm/267693677656?_skw=Dainese&hash=item3e53c95c58:g:wgIAAeSw479qJyEg
413,dainese jacket size 56,dainese ジャケット size 56,mercari;yahoo,12400,https://www.ebay.com/itm/188485197373?_skw=Dainese&hash=item2be297de3d:g:T-wAAeSwlWhqJ07G
414,Dainese druid 3 gloves motorcycle white leather gloves motorcycle racing gloves,ダイネーゼ druid 3 グローブ motorcycle white leather グローブ motorcycle racing グローブ,mercari;yahoo,30845,https://www.ebay.com/itm/127856069889?_skw=Dainese&hash=item1dc4d0cd01:g:JfUAAeSwZZBp~8jJ&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZIrLz%2BcQQCAbe%2FYGTbMO7z12nlApNXJeCv%2F3lpNbxMGl89jlBt2Rm6f%2BNVa1mnX%2FV8LIPOkPXFc2MZKlxaqqbSB9CjgrVblGijMRQe0dFRR8tRY4wDPpegmKaZREA5SXkNF0PUWm80oUyjumPh0W2Wmv21OTrODfbw6R4xeIZFIXN0Mwlk4fsKKb9fJaleFmvV2Ibbh5PaLmaGaZI6qwfKkerBNbCRTFxyKQAHvaDA9%2FAqtQpgewEF2J%2FyKiV33tr%2BN5dTpn7gepujXbwsC4geebb6DqT2W294JdOzI5ZrEA%3D%3D
415,Dainese Torque 3 Fluo Yellow US8.5 | EU41,ダイネーゼ Torque 3 Fluo Yellow US8.5 | EU41,mercari;yahoo,44693,https://www.ebay.com/itm/398006717242?_skw=Dainese&hash=item5cab0c8b3a:g:ZHAAAeSweCpqGsOx&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGarlTytbVnfBNxCKlyQoHdGRWME6QZ48q2tQkyifwvLqczdL4JmVUUSSeaIVVZ8j7cpBSXFgjH4SoxqhCoHTQtYT2Ht4KPWCoDefhZVBHoy%2FEfTl9JYUtT%2FtP8WpnUf91OIN6vKRcp%2B%2FqtjwzMXd5D%2B1%2BRuhLACIjsvMc3L0Jdq%2FwEqyjLd9AYcL%2BscW59CGEs0W4VisVtSszOuZlY1Ld1QxNIaSjNoAUh5R9epDWM29Hp0KGeJYg4DFM6uWlBN48MEx8spu%2BTuyfA%2BQfM%2BvlR3SLISg4UpzUPHCl0BqaDhYA%3D%3D
416,Dainese Tempest 3 D-Dry Lady motorcycle pants.,ダイネーゼ Tempest 3 D-Dry Lady motorcycle pants.,mercari;yahoo,35650,https://www.ebay.com/itm/366463039800?_skw=Dainese&hash=item5552e63938:g:AhUAAeSwLApqJhKk&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGZwlZ3nj2YlvQAvY8T%2Fc8XpvNqO5T3YhhVte%2FaAHFVbBNGnur6xvU6uLA92q58vv9H%2Fx6h37eufnCnrzh6YPi0ycq8R8%2BxANzKOizDJ%2B0rCh6GrAsAY2l5nXUitR3iZhMfk9jTsYqasdKPo0Pr7svn1DQCZxWDpFSWvdE3OIRwSBFAiAOWXBKH3Un9HxuKpFLEijtU6ca44hyYU9JJ0eNWz1r%2F6%2BtzI11sDPkjIZUr6E8iZbMX%2BIoTwPUEWvEMRCcZlOWhtNToQn2%2FsCnUAyw8W
417,Dainese Super Speed TEX SPR Motorcycle Jacket Size 56 Black/Red/White,ダイネーゼ Super Speed TEX SPR Motorcycle ジャケット Size 56 Black/Red/White,mercari;yahoo,43400,https://www.ebay.com/itm/147347993901?_skw=Dainese&hash=item224e9ff52d:g:UWgAAeSwCitqH2Hm
418,Men’s Dainese Leather Jacket Size 56EU/46US XL,Men’s ダイネーゼ Leather ジャケット Size 56EU/46US XL,mercari;yahoo,38750,https://www.ebay.com/itm/236866495994?_skw=Dainese&hash=item372657e5fa:g:AMYAAeSwYe5qJzXT
419,Dainese Laguna Evo Leather Motorcycle Jacket Armor Black Mens US 44 EU 64,ダイネーゼ Laguna Evo Leather Motorcycle ジャケット Armor Black Mens US 44 EU 64,mercari;yahoo,29448,https://www.ebay.com/itm/800139726113?_skw=Dainese&hash=itemba4c0b4d21:g:SEMAAeSwm-VqJdSc
420,Dainese Leather Motorcycle Jacket CE Armored -  Euro 50 / US Men's 42 Chest,ダイネーゼ Leather Motorcycle ジャケット CE Armored - Euro 50 / US Men's 42 Chest,mercari;yahoo,24180,https://www.ebay.com/itm/206331034474?_skw=Dainese&hash=item300a49bb6a:g:2d8AAeSwlVRpqbhG
421,Dainese Zen Evo Leather Motorcycle Jacket Black/White 56,ダイネーゼ Zen Evo Leather Motorcycle ジャケット Black/White 56,mercari;yahoo,37045,https://www.ebay.com/itm/336628961247?_skw=Dainese&hash=item4e60a64fdf:g:J6wAAeSwPZdqJ24K
422,Dainese Assen Perforated Leather Racing Motorcycle Jacket LOW MILES!! - Size 58,ダイネーゼ Assen Perforated Leather Racing Motorcycle ジャケット LOW MILES!! - Size 58,mercari;yahoo,49600,https://www.ebay.com/itm/206329267828?_skw=Dainese&hash=item300a2ec674:g:Jl0AAeSwgrxqJZnt
423,Dainese Pro-Armor S JKT2 Motorcycle Jacket Men’s Large Black And Blue Full Armor,ダイネーゼ Pro-Armor S JKT2 Motorcycle ジャケット Men’s Large Black And Blue Full Armor,mercari;yahoo,12400,https://www.ebay.com/itm/318168055177?_skw=Dainese&hash=item4a144b3d89:g:d-IAAeSwEPFp47ch
424,Dainese Racing Motorcycle Leather Jacket Size 58 Women’s  Black,ダイネーゼ Racing Motorcycle Leather ジャケット Size 58 Women’s Black,mercari;yahoo,29448,https://www.ebay.com/itm/188485150572?_skw=Dainese&hash=item2be297276c:g:P0oAAeSw2PhqJ07S
