request_id,title,search_keyword,target_sites,ebay_price_jpy,ebay_url
201,SALE!!! KTM PowerWear Beast Zip-up Hoodie 3PW25001730,SALE!!! KTM PowerWear Beast Zip-up パーカー 3PW25001730,mercari;yahoo,5423,https://www.ebay.com/itm/236504248218?_skw=KTM+PowerWear&hash=item3710c06f9a:g:MhMAAeSwRohpL2s3
202,"KTM PowerWear Defender Motorcycle Adventure Suit, Jacket & Pants, All Sizes","KTM PowerWear Defender Motorcycle Adventure Suit, ジャケット & Pants, All Sizes",mercari;yahoo,57348,https://www.ebay.com/itm/127900198540?_skw=KTM+PowerWear&hash=item1dc772268c:g:x78AAeSw8g5qH4J-&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGavBl2At4U4mEIdfyEJJ4JEtD8tjU8rIIhW%2Bo2%2FnNX0otwmfA8pwNT451IYHywmBOaLrJ7yDGqlmruVFImKYRcuu8D6%2BijxAoMSILFKaedXN2wJsu4LJEK3KI1NX615jML0Q2b4zukmOwbKz6q1EHW2TTbaechN3GYOA1etB5z%2FDjCkqOK9qk5fps--univOnjd2cK6R5JIz02LXHhTfzqTmUBUkX7zNJzlATOQUnCW2Pj5wl7LTfrOadXl7nyvsTMNDEyY1KE15JkgAYg7v4Lew4wXS7sYQJp228L63bdx9w%3D%3D
203,KTM PowerWear 2024 Team Ogio Dakar Hydration Backpack - Black/Orange,KTM PowerWear 2024 Team Ogio Dakar Hydration Backpack - Black/Orange,mercari;yahoo,26348,https://www.ebay.com/itm/306936798822?_skw=KTM+PowerWear&hash=item4776dbde66:g:Y~UAAeSw2CpqBK9q&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZd%2B60ikSxbKoy4axNygi7%2FP5TUm%2FHUX1VHBslNU2b8pd4UBik%2BZ1b9EabI3WMgrKUMvt%2FHjdZtim9CieqzHSNlRN%2B3%2BodfCO8b7hZyoXWC8COruFTKJKRHLvOjIpshkDV0UDmRCiaf4AYECuSssCow2n%2B9Igu6uXbTMhHmKtr8vpZj7TuFUrtPoVjgpZSNj41QKDsFRo4zWDQ3H%2BZ3rSaHY7AtR2Ef1mczBgEQLBaIwJEWfHeTJ3yt33qtrQwN9yIQxInbnVAwflw3WfOd%2FmTpZfKLgQsfjHGGsG%2F5JRjW8w%3D%3D
204,KTM PowerWear GIMOTO Rapid 1-Piece Racing Suit,KTM PowerWear GIMOTO Rapid 1-Piece Racing Suit,mercari;yahoo,139345,https://www.ebay.com/itm/405365012302?_skw=KTM+PowerWear&hash=item5e61a3374e:g:OEkAAOSwWttnO3aF&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGYyXoM9GWfg2z%2B1%2FwMUDWqVUS6qWWCVEtbLRu5w2q8rg5iJC7A7n3M6sEBv8pM3V6v19PJIMrlDY0%2BfGXz95Y4PKmeHNuFM9JJeckB6x3LakZ5RlvokSHAh6hBiRewIRCHfGirbCwd5q09bnLEhRtpdi%2BtC%2B1MrWIMi1c1r9%2BE188NxmL7w%2Fvw2tZIF5HvqhIYjahblznbjhfSnoInYtcshRMvkiEo73tDoKeJiqokssqy3FzLyKSG1%2B4nfB3tTqiwrqQ13YNW9wNC6W3Akgx9zvQBksu4nT0iC76CSMQxoKA%3D%3D
205,KTM Large Powerwear racing jacket,KTM Large Powerwear racing ジャケット,mercari;yahoo,18600,https://www.ebay.com/itm/287353554027?_skw=KTM+PowerWear&hash=item42e79b446b:g:f2gAAeSwto1qFOnr
206,KTM PowerWear Performance Summer Longsleeve Undershirt Sz Large Free Shipping!,KTM PowerWear Performance Summer Longsleeve Undershirt Sz Large Free Shipping!,mercari;yahoo,10073,https://www.ebay.com/itm/257296611481?_skw=KTM+PowerWear&hash=item3be812b899:g:QK8AAeSwrJppXWKT
207,KTM PowerWear 2021 Rain Jacket,KTM PowerWear 2021 Rain ジャケット,mercari;yahoo,8418,https://www.ebay.com/itm/306882956051?_skw=KTM+PowerWear&hash=item4773a64b13:g:8TkAAeSw-Bhp4Adv
208,KTM PowerWear Radical X V3 Gloves,KTM PowerWear Radical X V3 グローブ,mercari;yahoo,12867,https://www.ebay.com/itm/306547266080?_skw=KTM+PowerWear&hash=item475fa41220:g:mkMAAeSwl3RpVBI8
209,KTM Racing Powerwear - Men's Vest - Reversible Orange Black Motorcycle - Large,KTM Racing Powerwear - Men's Vest - Reversible Orange Black Motorcycle - Large,mercari;yahoo,6198,https://www.ebay.com/itm/188480893181?_skw=KTM+PowerWear&hash=item2be25630fd:g:gOIAAeSwT55qJhPD
210,KTM PowerWear 2025 Kini-RB Competition Jersey,KTM PowerWear 2025 Kini-RB Competition Jersey,mercari;yahoo,9213,https://www.ebay.com/itm/306903084515?_skw=KTM+PowerWear&hash=item4774d96de3:g:wzwAAeSw8K9p7eOs
211,KTM PowerWear Alpinestars CR-X Drystar Shoes,KTM PowerWear Alpinestars CR-X Drystar Shoes,mercari;yahoo,35803,https://www.ebay.com/itm/298148022642?_skw=KTM+PowerWear&hash=item456b01c972:g:kqoAAeSwERtpmDkK
212,KTM PowerWear 2024 Red Bull Team Zip Hoody,KTM PowerWear 2024 Red Bull Team Zip Hoody,mercari;yahoo,13820,https://www.ebay.com/itm/297573136502?_skw=KTM+PowerWear&hash=item4548bdb876:g:38QAAeSwGfdpVA6E
213,KTM PowerWear 2024 Gravity FX Replica Gloves,KTM PowerWear 2024 Gravity FX Replica グローブ,mercari;yahoo,5558,https://www.ebay.com/itm/298055532755?_skw=KTM+PowerWear&hash=item45657e80d3:g:NO0AAeSwsA1pmtUC
214,KTM PowerWear 2024 Ogio Red Bull Team 9800 Pro Gear Bag - Navy/Orange,KTM PowerWear 2024 Ogio Red Bull Team 9800 Pro Gear Bag - Navy/Orange,mercari;yahoo,65563,https://www.ebay.com/itm/298316162586?_skw=KTM+PowerWear&hash=item457507661a:g:CaAAAeSwwplqBUBi&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGY9HWqPONcEB9GjvqPE%2BFAaXt5IezzwUK2vkjGWjeepxWdmVBlgc%2Fsqq27D%2Fz43IVlz0mh8Qk%2FVHlivtDq4sU9ELWfqsyMgN35AI8jAoW7NGvHyUc0DEf2HOuy6XgwyTflovCdO7I0O%2FJ%2BtxxS0X11RneP58k%2FPsRBPKd6UFqc%2F1%2B7qeIEGYB8r2qsZbH7D%2BEFn93U2GckhP9fsp9IUn79qak2Vk0XnH6lABTRpYntEX9JgOHvqOHrHn7dnuAHCDf7DCRhTCmziJnJrG2izI40M%2FRiYGiuOzNwaiQCfdipaYQ%3D%3D
215,KTM PowerWear 2024 Rally Pro Jacket,KTM PowerWear 2024 Rally Pro ジャケット,mercari;yahoo,28673,https://www.ebay.com/itm/306981990184?_skw=KTM+PowerWear&hash=item47798d6f28:g:JncAAeSwhCFqIU~J&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZvZ%2BiyzRZ1pue3PmAMPBWxgqRoTSI8fgJesi2vNzJgmVlGDKIITfYVSWP7eeuw4w49t3IKjQEKvSO9ll2z5yV4khiA6lvAWvcDtSAAE%2BFLEdh91g3I0rJUsHha2fkd2G5ILinCCPgRlYJQ8DiEzTR07QUrDZjxXAjA7KH39%2BuiT2tP3T3E%2B68Ha8W%2ByR8hHcX7ioUK9gjx9NrceeutC0KuspBBD78HmF0FUkdLZfiCgYFZ6G6zMJ3BkEySQDdW%2FxclWdkQL1hs1gwuXwt7uxyOjj4FM9QwRq9VJZROcqe7iw%3D%3D
216,"KTM PowerWear Defender Motorcycle Adventure Suit, Jacket & Pants, All Sizes","KTM PowerWear Defender Motorcycle Adventure Suit, ジャケット & Pants, All Sizes",mercari;yahoo,58898,https://www.ebay.com/itm/127730220049?_skw=KTM+PowerWear&hash=item1dbd507c11:g:g9AAAeSw0x1pr4ez&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZdz4yivTxJ0YcWpIIWWR85tr64nT0144URVYTWaTB%2BFmjFk34UdJWyAVXHeCBHbUwvOlwH40n2zTcehFOAhI2%2BEESgIZOryHhZVe%2B7TytRaTOTCTBifrTmZjlhqs%2BQj6yXuuZRu2jVm6NdnuEn3qdwdJKyM3u8ISJbCK3xP5DHB%2BeTj964MCqSIB5GIJJNiCs5UdunGSJsedN1xhPwf3VGJkAC3r2q5csLcGZhAZxcDLjkR5ycboOWZCgfDN44jfBiHh8bHszq6%2BZO7TCJq8ZOiqhuIOKvDXXMtmzqRfMHkA%3D%3D
217,KTM PowerWear Breeze Pants Medium/32 (3pw240008603),KTM PowerWear Breeze パンツ Medium/32 (3pw240008603),mercari;yahoo,14568,https://www.ebay.com/itm/236506184814?_skw=KTM+PowerWear&hash=item3710ddfc6e:g:OwYAAeSw1MxpMLLk
218,KTM PowerWear Alpinestars Bionic Plus Knee Guards,KTM PowerWear Alpinestars Bionic Plus Knee Guards,mercari;yahoo,6989,https://www.ebay.com/itm/298259637902?_skw=KTM+PowerWear&hash=item4571a8e68e:g:fEEAAeSwCDZp66wZ
219,KTM PowerWear 2024 Red Bull Team Water Bottle - Navy/Orange 3RB240002500,KTM PowerWear 2024 Red Bull Team Water Bottle - Navy/Orange 3RB240002500,mercari;yahoo,4765,https://www.ebay.com/itm/306776314923?_skw=KTM+PowerWear&hash=item476d4b142b:g:K2kAAeSw4u1plOUa
220,KTM PowerWear WP Team Pants,KTM PowerWear WP Team パンツ,mercari;yahoo,13820,https://www.ebay.com/itm/298169098876?_skw=KTM+PowerWear&hash=item456c43627c:g:8BEAAeSwnQ5px6b7
221,KTM PowerWear 2025 Kini-RB Competition Gloves,KTM PowerWear 2025 Kini-RB Competition グローブ,mercari;yahoo,6353,https://www.ebay.com/itm/298354849008?_skw=KTM+PowerWear&hash=item457755b4f0:g:XxUAAeSwnlJqFW8~
222,KTM PowerWear 2024 Pounce Gloves,KTM PowerWear 2024 Pounce グローブ,mercari;yahoo,4765,https://www.ebay.com/itm/306695794379?_skw=KTM+PowerWear&hash=item47687e6ecb:g:eZcAAeSw3B5pXD76
223,KTM PowerWear WP Team T-Shirt,KTM PowerWear WP Team Tシャツ,mercari;yahoo,5558,https://www.ebay.com/itm/298165934511?_skw=KTM+PowerWear&hash=item456c1319af:g:c7MAAeSwJWtpxlaD
224,KTM PowerWear 2024 Team Polo,KTM PowerWear 2024 Team Polo,mercari;yahoo,9213,https://www.ebay.com/itm/306991829737?_skw=KTM+PowerWear&hash=item477a2392e9:g:AMgAAeSwc8pqJ-Xb
225,KTM PowerWear 2025 Red Bull KTM Lanyard - Navy/Orange 3RB250041900,KTM PowerWear 2025 Red Bull KTM Lanyard - Navy/Orange 3RB250041900,mercari;yahoo,2063,https://www.ebay.com/itm/306895999920?_skw=KTM+PowerWear&hash=item47746d53b0:g:UE8AAeSwJSpp6J64
226,KTM PowerWear Performance Summer Baselayer Shirt,KTM PowerWear Performance Summer Baselayer シャツ,mercari;yahoo,10166,https://www.ebay.com/itm/298258559293?_skw=KTM+PowerWear&hash=item457198713d:g:34IAAeSwy6tp6z9v
227,KTM PowerWear 2025 Racetech Jersey,KTM PowerWear 2025 Racetech Jersey,mercari;yahoo,10166,https://www.ebay.com/itm/298131085648?_skw=KTM+PowerWear&hash=item4569ff5950:g:LysAAeSw6MhpuH1F
228,KTM PowerWear 2024 Mechanic Shoes,KTM PowerWear 2024 Mechanic Shoes,mercari;yahoo,21543,https://www.ebay.com/itm/298377320881?_skw=KTM+PowerWear&hash=item4578ac99b1:g:8QYAAeSwiFZqHqmr
229,KTM Racing Team PowerWear HardShell Jacket Black/Orange 2021 Size - XL,KTM Racing Team PowerWear HardShell ジャケット Black/Orange 2021 Size - XL,mercari;yahoo,13950,https://www.ebay.com/itm/358314445998?_skw=KTM+PowerWear&hash=item536d348cae:g:2XIAAeSw~dxpsa6X&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGYzqsKC2%2B1UNx%2F5LegN5Mq%2FXCI2ZOhWpGm7kzykAUxp%2FlWtUyFJCpJcCwSG%2F23MfsuhgrxfXBb%2FA5EACU05nwPNvMadDv%2BCuxxmoYgJX1GanAeb0lhprDbvwE%2FaGJoeRSeWdNt7d6%2FdSbT9zE%2Bj3JJNRIRFSf0%2F4oqOFMVwR0HZi%2Bz%2FolR6atGWgP%2BRu8JEBD7z%2BIqPUOl0%2F5XSYLFN2Fdpg13t0OFKYoZbExX28eWGMOnPz7eaar%2Fmj5GNe2ZlJnjRB8KjX2IN0Y45zL8CLXc1UIsTbRN20%2Fb52JFhnk1Ksg%3D%3D
