request_id,title,search_keyword,target_sites,ebay_price_jpy,ebay_url
121,Ktm Racing Flag Banner 3x5  Motorcycle Car Motorcross Off Road Fan Gift,Ktm Racing Flag Banner 3x5 Motorcycle Car Motorcross Off Road Fan Gift,mercari;yahoo,1821,https://www.ebay.com/itm/187314272981?_skw=KTM&hash=item2b9cccfad5:g:YE8AAOSwj6Vh9cbH
122,Paris to Dakar rally Off-Road Motorcycle Desert Racing KTM BMW Sticker Decal,Paris to Dakar rally Off-Road Motorcycle Desert Racing KTM BMW Sticker Decal,mercari;yahoo,418,https://www.ebay.com/itm/236750976947?_skw=KTM&hash=item371f7537b3:g:q9EAAeSwEPFp2rHr
123,KTM Genuine Prot.Cap Hand Brake Cyl. 50 Lc - 45113004000,KTM Genuine Prot.Cap Hand Brake Cyl. 50 Lc - 45113004000,mercari;yahoo,2182,https://www.ebay.com/itm/306791349236?_skw=KTM&hash=item476e307bf4:g:jOgAAeSwM~tpyqh-
124,CNC Engine Oil Filler Plug Cap Cover For KTM XC XCF XCW XCF-W XC-W SixDays SX SX,CNC Engine Oil Filler Plug キャップ Cover For KTM XC XCF XCW XCF-W XC-W SixDays SX SX,mercari;yahoo,3153,https://www.ebay.com/itm/388393635538?_skw=KTM&hash=item5a6e108ed2:g:vgoAAOSwr6Bnqs3N
125,KTM Genuine Seat Judder Spring - 63532035000,KTM Genuine Seat Judder Spring - 63532035000,mercari;yahoo,1310,https://www.ebay.com/itm/306882961086?_skw=KTM&hash=item4773a65ebe:g:9mYAAeSwf5Np4AkQ
126,Moose Offroad Motor Oil Seals Motor Oil Seals - Gas Gas/Husqvarna/KTM,Moose Offroad Motor Oil Seals Motor Oil Seals - Gas Gas/Husqvarna/KTM,mercari;yahoo,6293,https://www.ebay.com/itm/198366964094?_skw=KTM&hash=item2e2f97a97e:g:XPYAAeSwHpNqDOt~
127,KTM Dirtbike Fuel Petcock Valve,KTM Dirtbike Fuel Petcock Valve,mercari;yahoo,8213,https://www.ebay.com/itm/377206005485?_skw=KTM&hash=item57d33adeed:g:NJ0AAeSwh5VqEfBB
128,Biker KTM Black cap  Adjustable & Washable One Size use for Men & Women,Biker KTM Black キャップ Adjustable & Washable One Size use for Men & Women,mercari;yahoo,3726,https://www.ebay.com/itm/376778250810?_skw=KTM&hash=item57b9bbda3a:g:oiUAAeSwHjdpOqAk
129,Evotech Performance KTM 990 RC R (2026 onwards) Rectifier Guard Protection,Evotech Performance KTM 990 RC R (2026 onwards) Rectifier Guard Protection,mercari;yahoo,9303,https://www.ebay.com/itm/127664742370?_skw=KTM&hash=item1db9695fe2:g:JzYAAeSwc51pgxsm
130,KTM Racing Team Logo T-Shirt Black Cotton Tee Enthusiast Racing Streetwear,KTM Racing Team Logo Tシャツ Black Cotton Tee Enthusiast Racing Streetwear,mercari;yahoo,2478,https://www.ebay.com/itm/389900034429?_skw=KTM&hash=item5ac7da617d:g:VBkAAeSwO~1p4auP
131,KTM BABY RADICAL BODY SET - ORANGE/BLUE - SIZE 86/12-18MO - 3PW220007505,KTM BABY RADICAL BODY SET - ORANGE/BLUE - SIZE 86/12-18MO - 3PW220007505,mercari;yahoo,6198,https://www.ebay.com/itm/327169270257?_skw=KTM&hash=item4c2ccee1f1:g:yT8AAeSw~F1qDgP0
132,"KTM O-Ring 44,00X2,00 NOS 0770440020  (S-1734)","KTM O-Ring 44,00X2,00 NOS 0770440020 (S-1734)",mercari;yahoo,814,https://www.ebay.com/itm/136909680649?_skw=KTM&hash=item1fe073f009:g:6gAAAeSwjsNpV1Z2
133,✅ 2023 HUSQVARNA TC 85 CLUTCH OUTPUT CYLINDER 🏁 72132061044 85SX MC85 290 ✅,✅ 2023 HUSQVARNA TC 85 CLUTCH OUTPUT CYLINDER 🏁 72132061044 85SX MC85 290 ✅,mercari;yahoo,17050,https://www.ebay.com/itm/168444249753?fits=Make%3AKTM&_skw=KTM&hash=item27380f4699:g:fk8AAeSwEw9pCO2N
134,"NEW OEM KTM BUSHING 6X8X12X4,5 125 150 200 EXC SX MXC XC XC-W 50334007053","NEW OEM KTM BUSHING 6X8X12X4,5 125 150 200 EXC SX MXC XC XC-W 50334007053",mercari;yahoo,1226,https://www.ebay.com/itm/393594054804?_skw=KTM&hash=item5ba408a894:g:LhwAAOSw16xmJ-JB
135,Moto-Master 620292240,Moto-Master 620292240,mercari;yahoo,10607,https://www.ebay.com/itm/157983745423?_skw=KTM&hash=item24c890a58f:g:IkcAAeSwM0BqJ-uE
136,IHCM 1:64 Black Carbon KTM X-BOW GT-XR Sports Open Model Diecast Metal Car,IHCM 1:64 Black Carbon KTM X-BOW GT-XR Sports Open Model Diecast Metal Car,mercari;yahoo,11484,https://www.ebay.com/itm/358504557334?_skw=KTM&hash=item5378896b16:g:TxAAAeSwWxpp7wCb
137,Complete Performance Clutch Pad Assembly for KTM50 KTM 50 Junior Senior Sx Pro,Complete Performance Clutch Pad Assembly for KTM50 KTM 50 Junior Senior Sx Pro,mercari;yahoo,4625,https://www.ebay.com/itm/376640524117?_skw=KTM&hash=item57b1864f55:g:3NAAAeSwgXxo-HYj
138,NEW OEM KTM THREADED BUSH M12 D20 85 105 150 200 250 300 350 400 500 50180105,NEW OEM KTM THREADED BUSH M12 D20 85 105 150 200 250 300 350 400 500 50180105,mercari;yahoo,2829,https://www.ebay.com/itm/234926731042?fits=Make%3AKTM&_skw=KTM&hash=item36b2b96f22:g:DoUAAOSwU3NiO1vS
139,NEW! KTM REDBULL COWBOY HAT -  SUEDE BROWN - LARGE/X-LARGE - 58CM-61CM,NEW! KTM REDBULL COWBOY 帽子 - SUEDE BROWN - LARGE/X-LARGE - 58CM-61CM,mercari;yahoo,13948,https://www.ebay.com/itm/327090840644?_skw=KTM&hash=item4c28222444:g:JjkAAeSw6uVp1Yi5
