request_id,title,search_keyword,target_sites,ebay_price_jpy,ebay_url
012,Personalized KTM Red B**lRacing Long Sleeve Shirt For Motorcycle Riders,Personalized KTM Red B**lRacing Long Sleeve シャツ For Motorcycle Riders,mercari;yahoo,4648,https://www.ebay.com/itm/127826065383?_skw=KTM&hash=item1dc306f7e7:g:32AAAeSwK4lp6jIE
013,"KTM oil change kit for 690 cc, 1.7L motorex oil and 2 filters","KTM oil change kit for 690 cc, 1.7L motorex oil and 2 filters",mercari;yahoo,10073,https://www.ebay.com/itm/406812163714?_skw=KTM&hash=item5eb7e4fe82:g:1EIAAeSwPMBpyUeZ
014,KTM Toolbox Pen Holder – Tool Box Organizer for Desk,KTM Toolbox Pen Holder – Tool Box Organizer for Desk,mercari;yahoo,4487,https://www.ebay.com/itm/236737359701?_skw=KTM&hash=item371ea56f55:g:hr0AAeSwgyhp0ckf&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGYpSCXzRw7AfClnsCBoZZ86rt%2FcxwZftUxa3fpkUeu%2FTq0biUKzGEhib8eU7XHYg7BFtnZp3hVbzoCfmVv3g%2BItGurLuSiBDtPWx3XcwNwGKCUmB4oO3%2FoIl023phWlxlbgsPJLDVLBSwd1GMm5TqxMzHoCDo9oksEbWYTW8xbsls7xobZ4n1gWoCx7wWTr3C049%2BIu7%2BtZ76Q3gchSNuk7l5Ojidka57Dg5dVLCgi6nLX5zqc93DTdBNaBM083f4Y6lkKSTL9Kmmz3D7vUGgJ6
015,For KTM Motorcycle Auto Diagnostic Scanner Tool 6Pin To 16Pin OBD2 Adapter Cable,For KTM Motorcycle Auto Diagnostic Scanner Tool 6Pin To 16Pin OBD2 Adapter Cable,mercari;yahoo,2248,https://www.ebay.com/itm/389836043827?_skw=KTM&hash=item5ac409f633:g:YdUAAeSwPHhpznf2&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGa0shGWMBri9IDF2jpNKzCVwZFmqzmTMXyKuP6LfVMj57qlb9qb48fGRo6KsDyINmQQ2vDPB2XynrFxyYInQbbwKqSzM1GT%2BFWd3aH20bgJ%2BTVZTmRBuN%2B%2BnfOW0IOcUKm53efCEMn8BsJ6JNj6lTKIxit1dOWXz71UZdKMb7s7FOZOQclSD3ryzVOOTHG9p5FRDpOrd49nbLlLloLZ48T4nr0sNSaUv5pRC7nkwaYJJpNLJ1Elnz1uvpJEMBe2Z04WMw2P1huDO3M3XWwM07Ip
016,2024 Motorcycle Ignition Coil High Pressure Coil Compatible with KTM Compatible,2024 Motorcycle Ignition Coil High Pressure Coil Compatible with KTM Compatible,mercari;yahoo,6202,https://www.ebay.com/itm/800041123535?_skw=KTM&hash=itemba462abecf:g:xZEAAeSw-jZqDJt3&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGaSaDt3B6VrxVjvtIrYvDd8shLV8FA33oaAaFJQtd5CQBunNhrvFrropuqwYer50nNFq1LmsHQg2fnIyd5I7MMjjSfgqVF5aGEMgE9agQeMVMnKuS6IN3U22yWJiNeerwHK7RHtlviw4xfz9aB%2Bievo3M06mmBZX5oqAzXS7u8ULQmZsSBNLOB0Urnl%2FTh9%2BeIG%2FYStS1dWOnpt0y%2Fct27AvFjs5EcNnaMfxxhCcZKbtYTDcpNeWsTvQe9810jHGKfZb1xXIefxsYo6JLXWnRdg
017,"Genuine KTM Swing Arm Protection Kit, Black, 7720499410030","Genuine KTM Swing Arm Protection Kit, Black, 7720499410030",mercari;yahoo,8213,https://www.ebay.com/itm/406812163492?_skw=KTM&hash=item5eb7e4fda4:g:jH0AAeSwEOBpyUeV
018,Starter Motor KTM Motorcycle 200 250 300 EXC XC XCW 55140001100 410 Watt,Starter Motor KTM Motorcycle 200 250 300 EXC XC XCW 55140001100 410 Watt,mercari;yahoo,14258,https://www.ebay.com/itm/124664356268?_skw=KTM&hash=item1d06931dac:g:b~QAAOSwrLxgZxYX
019,KTM Motorcycle Logo Flag Banner 3x5 ft Mancave Garage Flag MX/SX,KTM Motorcycle Logo Flag Banner 3x5 ft Mancave Garage Flag MX/SX,mercari;yahoo,2248,https://www.ebay.com/itm/185259290913?_skw=KTM&hash=item2b22507121:g:UjwAAOSwXUliqjnC
020,"KTM REDBULL AARON PLESSINGER COWBOY HAT - EXTRA LARGE, 61cm - 3RB250047804","KTM REDBULL AARON PLESSINGER COWBOY 帽子 - EXTRA LARGE, 61cm - 3RB250047804",mercari;yahoo,10848,https://www.ebay.com/itm/267318131499?_skw=KTM&hash=item3e3d66fb2b:g:CR8AAeSwIedobVsh
021,FUEL PUMP ASSEMBLY REPLACE 78107088600 For KTM EXC-F 250 350 450 2012-2020,FUEL PUMP ASSEMBLY REPLACE 78107088600 For KTM EXC-F 250 350 450 2012-2020,mercari;yahoo,6322,https://www.ebay.com/itm/397842446106?_skw=KTM&hash=item5ca141f71a:g:VSYAAeSwXlVpgGf8
022,"Red Bull KTM Factory Racing Motorsports Energy Drink Iron On Patch 2"" x 2.75""","Red Bull KTM Factory Racing Motorsports Energy Drink Iron On Patch 2"" x 2.75""",mercari;yahoo,1083,https://www.ebay.com/itm/227153803837?_skw=KTM&hash=item34e36bfa3d:g:IX0AAeSwvftpVKIU
