title,price,itemWebUrl,sellerUsername,condition,itemLocation,categoryPath,buyingOptions,searchKeyword
Dainese Zentex Textile Mesh Motorcycle Jacket 54EU/44US.  Red and black.,79.00,https://www.ebay.com/itm/127875775442?_skw=Dainese&hash=item1dc5fd7bd2:g:SQEAAeSwAyNqDghR,michael_chicago,Pre-owned,"337**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,Dainese
Vintage DAINESE World Class Champion Leather Suit Overalls Size 54 Italy -*READ*,259.99,https://www.ebay.com/itm/137319422034?_skw=Dainese&hash=item1ff8e01852:g:b9EAAeSwIGhqCjrI,billionsandbillions,Pre-owned,"871**, US","Racing & Riding Suits > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,Dainese
DAINESE Charger Blk Jeans Men’s 31x32. No Armor Included. Made In italy,50.00,https://www.ebay.com/itm/198348281506?_skw=Dainese&hash=item2e2e7a96a2:g:Q~YAAeSw-BhqAkVc,wynsley1,Pre-owned - Good,"331**, US","Jeans > Men's Clothing > Clothing, Shoes & Accessories > Men",FIXED_PRICE,Dainese
dainese d-air street smart f3 jacket and pants track setup new,550.00,https://www.ebay.com/itm/157460204359?_skw=Dainese&hash=item24a95c0b47:g:2L8AAeSw5wRpFP78,clwill_295,Pre-owned,"907**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,BEST_OFFER",Dainese
Dainese Men's Motorcycle Jacket Size 50 with Shoulder Protection Black,195.00,https://www.ebay.com/itm/327158690045?_skw=Dainese&hash=item4c2c2d70fd:g:Oe0AAeSwVpNpytnV,laurehaue_1,Pre-owned - Good,"285**, US","Coats, Jackets & Vests > Men's Clothing > Clothing, Shoes & Accessories > Men","FIXED_PRICE,BEST_OFFER",Dainese
Dainese Reacto Carbon Mens Leather Motorcycle Gloves Black/Red Lava XXL,109.82,https://www.ebay.com/itm/306922706931?_skw=Dainese&hash=item477604d7f3:g:Pl8AAeSwzmBp-6hP,perf-moto_outlet,New without tags,"494**, US","Gloves > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,Dainese
Dainese Misano 3 Perforated D-Air 1-Piece Leather Suits,2099.00,https://www.ebay.com/itm/116923241774?_skw=Dainese&hash=item1b392b152e:g:1awAAeSwac5pOd1t,motocorsa,New without tags,"972**, US","Racing & Riding Suits > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,Dainese
Vintage Dainese Carbon Long Motorcycle Gloves Black White Race Gauntlet Size S,120.00,https://www.ebay.com/itm/397953302785?_skw=Dainese&hash=item5ca7dd8101:g:zR4AAeSwPN5qB6nK,treasurestoreua,Pre-owned,UA,"Gloves > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,BEST_OFFER",Dainese
Dainese Airframe 3 Jacket Black/black/black Size 50 .,131.21,https://www.ebay.com/itm/327047712114?_skw=Dainese&hash=item4c25900d72:g:YGIAAeSw2HtoYu4e,discountmotorsports2,Pre-owned,"850**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,Dainese
Dainese Leather Motorcycle Riding Jacket Size 48 EU Armored Padded,360.00,https://www.ebay.com/itm/227314146117?_skw=Dainese&hash=item34ecfa9b45:g:n~kAAeSwRxtp6oMw,throwbackvault,Pre-owned - Good,"143**, US","Coats, Jackets & Vests > Men's Clothing > Clothing, Shoes & Accessories > Men","FIXED_PRICE,BEST_OFFER",Dainese
Dainese AVRO 4 Leather Motorcycle Jacket - Men's - Size 64,390.00,https://www.ebay.com/itm/206326821037?_skw=Dainese&hash=item300a0970ad:g:62MAAeSwWTNqJCkM,nick112710,New without tags,"282**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,AUCTION",Dainese
Ducati Performance Dainese Infostrada Paddock Motorcycle Jacket SZ 56 (XL),325.00,https://www.ebay.com/itm/336607124758?_skw=Dainese&hash=item4e5f591d16:g:UCcAAeSw5ApqGDi3,hf_174,Pre-owned - Excellent,"344**, US","Activewear Jackets > Men's Clothing > Clothing, Shoes & Accessories > Activewear > Men",FIXED_PRICE,Dainese
Dainese Steel Pro In Gloves Large,185.50,https://www.ebay.com/itm/157804414669?_skw=Dainese&hash=item24bde046cd:g:q44AAeSwR51ptY7Y,nightowl_ph,Pre-owned,"600**, US","Gloves > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,BEST_OFFER",Dainese
"Dainese Bora Pelle Leather Motorcycle Jacket Black,Blue,white & Armour Size 54 ",140.07,https://www.ebay.com/itm/117239720567?_skw=Dainese&hash=item1b4c082a77:g:N9gAAeSwqIdqJ-lz,andymanav,Used,"NR13***, GB","Motorcycle Jackets > Clothing, Protective Gear & Merchandise > Vehicle Parts & Accessories > Motorcycle & Motorsports Gear","FIXED_PRICE,BEST_OFFER",Dainese
Dainese York D-WR motorcycle Shoes Men's Black / Anthracite Sz US 10 Waterproof,99.00,https://www.ebay.com/itm/358579203010?_skw=Dainese&hash=item537cfc6bc2:g:TFkAAeSwO6VqDNdg,ax-7773,Pre-owned,"903**, US","Boots & Shoes > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,Dainese
Dainese Freddy Leather Jacket With Pads Size 54 Read Desc ,149.99,https://www.ebay.com/itm/136380398967?_skw=Dainese&hash=item1fc0e7bd77:g:4HIAAOSwtcNlto4q,allisomori0,Pre-owned,"335**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,Dainese
Dainese Air Frame DI Tex Black Motorcycle Mesh Air Vent Jacket Size 54 M NEW!,175.00,https://www.ebay.com/itm/358564548028?_skw=Dainese&hash=item537c1ccdbc:g:g3AAAeSwI49qCXsM,tallboy,New without tags,"333**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,Dainese
Dainese Women's Long Leather Motorcycle Gloves Size 6.5/ S New WOT,130.00,https://www.ebay.com/itm/336593479540?_skw=Dainese&hash=item4e5e88e774:g:RdoAAeSwysJqDh8s,angelgram,New without tags,"315**, US","Gloves > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,BEST_OFFER",Dainese
Dainese Motorcycle Jacket Black Size 46,89.00,https://www.ebay.com/itm/188361100943?_skw=Dainese&hash=item2bdb324e8f:g:QLkAAeSwLqJp~XG~,thedreamreamerjr,Pre-owned,"925**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,BEST_OFFER",Dainese
