title,price,itemWebUrl,sellerUsername,condition,itemLocation,categoryPath,buyingOptions,searchKeyword
KTM PowerWear 2024 Red Bull Team Zip Hoody,89.16,https://www.ebay.com/itm/297573136502?_skw=KTM+PowerWear&hash=item4548bdb876:g:38QAAeSwGfdpVA6E,motosportinc,New with tags,"240**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,KTM PowerWear
KTM PowerWear 2024 Gravity FX Replica Gloves,35.86,https://www.ebay.com/itm/298055532755?_skw=KTM+PowerWear&hash=item45657e80d3:g:NO0AAeSwsA1pmtUC,motosportinc,New with tags,"240**, US","Gloves > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,KTM PowerWear
KTM PowerWear 2024 Ogio Red Bull Team 9800 Pro Gear Bag - Navy/Orange,422.99,https://www.ebay.com/itm/298316162586?_skw=KTM+PowerWear&hash=item457507661a:g:CaAAAeSwwplqBUBi&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGY9HWqPONcEB9GjvqPE%2BFAaXt5IezzwUK2vkjGWjeepxWdmVBlgc%2Fsqq27D%2Fz43IVlz0mh8Qk%2FVHlivtDq4sU9ELWfqsyMgN35AI8jAoW7NGvHyUc0DEf2HOuy6XgwyTflovCdO7I0O%2FJ%2BtxxS0X11RneP58k%2FPsRBPKd6UFqc%2F1%2B7qeIEGYB8r2qsZbH7D%2BEFn93U2GckhP9fsp9IUn79qak2Vk0XnH6lABTRpYntEX9JgOHvqOHrHn7dnuAHCDf7DCRhTCmziJnJrG2izI40M%2FRiYGiuOzNwaiQCfdipaYQ%3D%3D,motosportinc,New with tags,"240**, US","Backpacks & Bags > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Automotive Accessories & Merchandise",FIXED_PRICE,KTM PowerWear
KTM PowerWear 2024 Rally Pro Jacket,184.99,https://www.ebay.com/itm/306981990184?_skw=KTM+PowerWear&hash=item47798d6f28:g:JncAAeSwhCFqIU~J&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZvZ%2BiyzRZ1pue3PmAMPBWxgqRoTSI8fgJesi2vNzJgmVlGDKIITfYVSWP7eeuw4w49t3IKjQEKvSO9ll2z5yV4khiA6lvAWvcDtSAAE%2BFLEdh91g3I0rJUsHha2fkd2G5ILinCCPgRlYJQ8DiEzTR07QUrDZjxXAjA7KH39%2BuiT2tP3T3E%2B68Ha8W%2ByR8hHcX7ioUK9gjx9NrceeutC0KuspBBD78HmF0FUkdLZfiCgYFZ6G6zMJ3BkEySQDdW%2FxclWdkQL1hs1gwuXwt7uxyOjj4FM9QwRq9VJZROcqe7iw%3D%3D,motosportinc,New with tags,"240**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,KTM PowerWear
"KTM PowerWear Defender Motorcycle Adventure Suit, Jacket & Pants, All Sizes",379.99,https://www.ebay.com/itm/127730220049?_skw=KTM+PowerWear&hash=item1dbd507c11:g:g9AAAeSw0x1pr4ez&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZdz4yivTxJ0YcWpIIWWR85tr64nT0144URVYTWaTB%2BFmjFk34UdJWyAVXHeCBHbUwvOlwH40n2zTcehFOAhI2%2BEESgIZOryHhZVe%2B7TytRaTOTCTBifrTmZjlhqs%2BQj6yXuuZRu2jVm6NdnuEn3qdwdJKyM3u8ISJbCK3xP5DHB%2BeTj964MCqSIB5GIJJNiCs5UdunGSJsedN1xhPwf3VGJkAC3r2q5csLcGZhAZxcDLjkR5ycboOWZCgfDN44jfBiHh8bHszq6%2BZO7TCJq8ZOiqhuIOKvDXXMtmzqRfMHkA%3D%3D,revcore-07,New with tags,PK,"Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,BEST_OFFER",KTM PowerWear
KTM PowerWear Breeze Pants Medium/32 (3pw240008603),93.99,https://www.ebay.com/itm/236506184814?_skw=KTM+PowerWear&hash=item3710ddfc6e:g:OwYAAeSw1MxpMLLk,slmracing,New with tags,"760**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,BEST_OFFER",KTM PowerWear
KTM PowerWear Alpinestars Bionic Plus Knee Guards,45.09,https://www.ebay.com/itm/298259637902?_skw=KTM+PowerWear&hash=item4571a8e68e:g:fEEAAeSwCDZp66wZ,motosportinc,New with tags,"240**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,KTM PowerWear
KTM PowerWear 2024 Red Bull Team Water Bottle - Navy/Orange 3RB240002500,30.74,https://www.ebay.com/itm/306776314923?_skw=KTM+PowerWear&hash=item476d4b142b:g:K2kAAeSw4u1plOUa,motosportinc,New with tags,"240**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,KTM PowerWear
KTM PowerWear WP Team Pants,89.16,https://www.ebay.com/itm/298169098876?_skw=KTM+PowerWear&hash=item456c43627c:g:8BEAAeSwnQ5px6b7,motosportinc,New with tags,"240**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,KTM PowerWear
KTM PowerWear 2025 Kini-RB Competition Gloves,40.99,https://www.ebay.com/itm/298354849008?_skw=KTM+PowerWear&hash=item457755b4f0:g:XxUAAeSwnlJqFW8~,motosportinc,New with tags,"240**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,KTM PowerWear
